Year	ID_mesh	SPRCLASSE	Deforestation	Reforestation	Growth_Urban	Growth_Mining	Growth_Pasture	Growth_Agriculture	Forest	NonForest	Water	Others	Urban	Mining	Pasture	Agriculture
2013	18	Aquidauana	0.0504	0	0	0	0	0	0	0	0	8.5563	0	0	0	0
2014	18	Aquidauana	0	0	0	0	0	0	0	0	0	8.5563	0	0	0	0
2015	18	Aquidauana	0	0	0	0	0	0	0	0	0	8.5563	0	0	0	0
2016	18	Aquidauana	0	0	0	0	0	0	0	0	0	8.5563	0	0	0	0
2017	18	Aquidauana	0	0	0	0	0	0	0	0	0	8.5563	0	0	0	0
2018	18	Aquidauana	0	0	0	0	0	0	0	0	0	8.5563	0	0	0	0
2019	18	Aquidauana	0	0	0	0	0	0	0	0	0	8.5563	0	0	0	0
2020	18	Aquidauana	0	0	0	0	0	0	0	0	0	8.5563	0	0	0	0
2021	18	Aquidauana	0	0	0	0	0	0	0	0	0	8.5563	0	0	0	0
2022	18	Aquidauana	0	0	0	0	0	0	0	0	0	8.5563	0	0	0	0
2012	19	Aquidauana	NA	NA	NA	NA	NA	NA	0	0	0	3.6711	0	0	0	0
2013	19	Aquidauana	0	0	0	0	0	0	0	0	0	3.6711	0	0	0	0
2014	19	Aquidauana	0	0	0	0	0	0	0	0	0	3.6711	0	0	0	0
2015	19	Aquidauana	0	0	0	0	0	0	0	0	0	3.6711	0	0	0	0
2016	19	Aquidauana	0	0	0	0	0	0	0	0	0	3.6711	0	0	0	0
2017	19	Aquidauana	0	0	0	0	0	0	0	0	0	3.6711	0	0	0	0
2018	19	Aquidauana	0	0	0	0	0	0	0	0	0	3.6711	0	0	0	0
2019	19	Aquidauana	0	0	0	0	0	0	0	0	0	3.6711	0	0	0	0
2020	19	Aquidauana	0	0	0	0	0	0	0	0	0	3.6711	0	0	0	0
2021	19	Aquidauana	0	0	0	0	0	0	0	0	0	3.6711	0	0	0	0
2022	19	Aquidauana	0	0	0	0	0	0	0	0	0	3.6711	0	0	0	0
2012	20	Aquidauana	NA	NA	NA	NA	NA	NA	0	0	0	0.0549	0	0	0	0
2013	20	Aquidauana	0	0	0	0	0	0	0	0	0	0.0549	0	0	0	0
2014	20	Aquidauana	0	0	0	0	0	0	0	0	0	0.0549	0	0	0	0
2015	20	Aquidauana	0	0	0	0	0	0	0	0	0	0.0549	0	0	0	0
2016	20	Aquidauana	0	0	0	0	0	0	0	0	0	0.0549	0	0	0	0
2017	20	Aquidauana	0	0	0	0	0	0	0	0	0	0.0549	0	0	0	0
2018	20	Aquidauana	0	0	0	0	0	0	0	0	0	0.0549	0	0	0	0
2019	20	Aquidauana	0	0	0	0	0	0	0	0	0	0.0549	0	0	0	0
2020	20	Aquidauana	0	0	0	0	0	0	0	0	0	0.0549	0	0	0	0
2021	20	Aquidauana	0	0	0	0	0	0	0	0	0	0.0549	0	0	0	0
2022	20	Aquidauana	0	0	0	0	0	0	0	0	0	0.0549	0	0	0	0
2012	21	Aquidauana	NA	NA	NA	NA	NA	NA	0	0	0	0.1953	0	0	0	0
2013	21	Aquidauana	0	0	0	0	0	0	0	0	0	0.1953	0	0	0	0
